id_dataset;total time
45557;0.04184722900390625
986;0.0469357967376709
1008;0.024054288864135742
844;0.02145695686340332
327;0.018395662307739258
798;0.023985862731933594
786;0.03687644004821777
27;0.054531097412109375
944;0.016114473342895508
49;0.041466474533081055
51;0.03370237350463867
55;0.029978036880493164
1073;0.10627484321594238
1066;0.18744969367980957
1045;0.16914105415344238
1065;0.21404004096984863
807;4.039246559143066
1481;6.1167144775390625
184;6.048927068710327
1003;0.038872480392456055
470;0.04517674446105957
42172;0.05905628204345703
934;0.22662925720214844
42;0.10761761665344238
56;0.06953740119934082
940;0.07379841804504395
