ids;best_node.mean;best_node.sd;elite_nn.mean;elite_nn.sd;linear_discr.mean;linear_discr.sd;naive_bayes.mean;naive_bayes.sd;one_nn.mean;one_nn.sd;random_node.mean;random_node.sd;worst_node.mean;worst_node.sd
45557;;;;;;;;;;;;;;
986;;;;;;;;;;;0.6841591591591591;0.011169406274166871;;
1008;;;;;;;;;;;;;;
844;;;;;;;;;;;;;;
327;;;;;;;;;;;;;;
798;;;;;;;;;;;;;;
786;;;;;;;;;;;0.5189247311827957;0.06812336906093291;;
27;;;;;;;;;;;;;;
944;;;;;;;;;;;;;;
49;;;;;;;;;;;0.7001075268817204;0.08136034924810437;;
51;;;;;;;;;;;;;;
55;;;;;;;;;;;;;;
1073;0.7156084656084657;0.04836842583314386;0.6871693121693122;0.09341669459376427;0.689021164021164;0.0860984786882821;0.6793650793650794;0.11790918202052968;0.7;0.08706030827382932;0.5546296296296297;0.10285576460393221;0.5835978835978837;0.11406347466514738
1066;0.658095238095238;0.1886526467177989;0.6142857142857142;0.12694443824210924;0.6433333333333333;0.15686925034307966;0.6738095238095239;0.13952462213317726;0.5942857142857143;0.16277079303658762;0.7138095238095238;0.18154247976072144;0.5871428571428571;0.0919553278115258
1045;0.9252380952380953;0.06617543889179764;0.9252380952380953;0.06617543889179764;0.8761904761904763;0.07939681905015745;0.89;0.07268558838851918;0.9033333333333333;0.10905235543421132;0.9452380952380952;0.02894378179176264;0.9452380952380952;0.02894378179176264
1065;0.89512077294686;0.02310713302578914;0.8449758454106281;0.04638041786837585;0.8995169082125605;0.02368956555188247;0.8625603864734298;0.05701267720776345;0.8428019323671497;0.0406794011000321;0.8886473429951691;0.023995450000576363;0.903961352657005;0.010918776890197216
807;0.6945797968968701;0.018601059995776385;0.5920396676494237;0.022293452441631844;0.7324180291253463;0.018207631449413945;0.7360816283987016;0.017510467913683058;0.8077398076178565;0.01216146206670892;0.54113776467435;0.01698769376112951;0.5380860061347865;0.025926509357295544
1481;0.1604660372540126;0.054054466096766535;0.09965779974920054;0.00016572849254813712;0.1805298424689645;0.09606497726205286;0.19533093714385905;0.12580885235013528;0.2932311077738942;0.035764927128081894;0.14930645179733265;0.03077292666613721;0.1666335951862764;0.0662053188596474
184;0.1604660372540126;0.054054466096766535;0.09965779974920054;0.00016572849254813712;0.1805298424689645;0.09606497726205286;0.19533093714385905;0.12580885235013528;0.2932311077738942;0.035764927128081894;0.19083402893976872;0.016531948843008713;0.1666335951862764;0.0662053188596474
1003;;;;;;;;;;;0.7522281639928698;0.014735112023335951;;
470;;;;;;;;;;;0.666681299385426;0.006621365871048268;;
42172;;;;;;;;;;;0.7971428571428572;0.012738033427135819;;
934;0.911776611694153;0.047711056355055244;0.877998500749625;0.04639256410706429;0.8581334332833583;0.22164909701645807;0.9177211394302848;0.07101503962797369;0.8918665667166416;0.07241698544998536;0.7785607196401798;0.003483943040066661;0.7785607196401798;0.003483943040066661
42;;;;;;;;;;;0.16698635976129583;0.02266931277065111;;
56;;;;;;;;;;;;;;
940;;;;;;;;;;;0.8481857764876632;0.001402165142350232;;
