ids,Datasets,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
40981,Australian_40981.csv,0.8550724637681159,0.050204371233880496,0.8550724637681159,0.050204371233880496,0.8550724637681159,0.054655596613452956,0.7840579710144928,0.05484740861636705,0.691304347826087,0.052499431833418986,0.8550724637681159,0.050204371233880496,0.5608695652173913,0.0168043740395421
1447,CastMetal1_1447.csv,0.8625,0.014837873278204622,0.7952651515151515,0.05395197735603828,0.8473484848484848,0.04913668717597815,0.8137310606060606,0.06261634984373722,0.8011363636363636,0.056326789234708526,0.8625,0.014837873278204622,0.8715909090909092,0.01230007967470459
1446,CostaMadre1_1446.csv,0.8750574712643677,0.015760591236031612,0.8008045977011495,0.05634151401336532,0.8339080459770114,0.04298109496909936,0.8102298850574712,0.08635823242704002,0.8108045977011494,0.036794378370998,0.8717241379310344,0.01321922369523239,0.8717241379310344,0.01321922369523239
41430,DiabeticMellitus_41430.csv,0.9929802955665025,0.014801682872932338,0.9894088669950738,0.01705663789645042,,,,,,,0.6476600985221677,0.011530116464217735,0.6476600985221677,0.011530116464217735
4340,Engine1_4340.csv,0.6607287449392713,0.28464581686003015,0.610863697705803,0.23758225978980474,0.7917678812415655,0.24627990461245394,0.8042510121457489,0.18921039090523373,0.8040485829959515,0.15598130866067986,0.5157894736842106,0.17228153547278646,0.6755735492577598,0.08766553134948014
46116,German-Credit-Risk-with-Target_46116.csv,error,,,,,,,,,,,,,
1448,KnuggetChase3_1448.csv,0.8347368421052632,0.07339961748767934,0.7189473684210527,0.20529989174979532,0.7734210526315789,0.06025811414322964,0.7886842105263157,0.0699563465871678,0.6902631578947368,0.10039970901209704,0.8300000000000001,0.03418127404338961,0.8197368421052632,0.025641957863584995
1441,KungChi3_1441.csv,0.862820512820513,0.09936242067361993,0.5108974358974359,0.3754249789533456,0.8865384615384615,0.11053639994085866,0.8134615384615385,0.08490464672632536,0.782051282051282,0.15698949304890505,0.8711538461538462,0.08463534686396082,0.8621794871794872,0.054664952160111226
40496,LED-display-domain-7digit_40496.csv,0.20400000000000001,0.012649110640673516,0.13999999999999999,0.04422166387140534,0.75,0.058309518948453,0.6920,0.05593647190240808,0.6359999999999999,0.06380525927469544,0.20400000000000001,0.012649110640673516,0.20600000000000002,0.0211869981094276
43595,Loan-Predication_43595.csv,error,,,,,,,,,,,,,
45557,Mammographic-Mass-Data-Set_45557.csv,,,,,,,,,,,,,,
1449,MeanWhile1_1449.csv,0.8733846153846153,0.04134522956629395,0.8221538461538461,0.05709698543898437,0.8615384615384615,0.04735197010662075,0.8021538461538462,0.07586693773934788,0.7944615384615384,0.08508247149648411,0.8933846153846154,0.018476489672322516,0.8933846153846154,0.018476489672322516
1442,MegaWatt1_1442.csv,0.8733846153846153,0.04134522956629395,0.8221538461538461,0.05709698543898437,0.8615384615384615,0.04735197010662075,0.8021538461538462,0.07586693773934788,0.7944615384615384,0.08508247149648411,0.8933846153846154,0.018476489672322516,0.8933846153846154,0.018476489672322516
1450,MindCave2_1450.csv,0.7121794871794872,0.09222505401892656,0.5506410256410257,0.13355811919593588,0.6737179487179488,0.13252859548610982,0.7128205128205128,0.0913470910133362,0.583974358974359,0.12186794928665831,0.726923076923077,0.1268518318560414,0.6346153846153847,0.10932990432022248
4534,PhishingWebsites_4534.csv,0.8889210640439235,0.01526682185357008,0.7082370124291197,0.22876091561686132,0.9289922512335022,0.007753864591658992,0.771875577884513,0.02042796589634254,0.9666135353849427,0.02007307115826438,0.5569425511197663,0.00033108798825651187,0.5589328467511638,0.0019390008835129663
1451,PieChart1_1451.csv,0.9064185110663983,0.013352121704842596,0.8268410462776661,0.06526046994093997,0.9121730382293762,0.031549320013039506,0.8796177062374246,0.04530227742707178,0.8497585513078469,0.04236908918369476,0.9120724346076459,0.008716400588214459,0.9120724346076459,0.008716400588214459
1452,PieChart2_1452.csv,0.9785585585585587,0.006824155010998541,0.9678198198198199,0.014297120370694858,0.9584324324324325,0.01933375220060336,0.9221621621621621,0.059621522096204825,0.9543603603603603,0.02211728327042698,0.9785585585585587,0.006824155010998541,0.9785585585585587,0.006824155010998541
1453,PieChart3_1453.csv,0.875588438906196,0.004514419938604009,0.8086275527864313,0.07618963244944506,0.8774316372447213,0.015087210154633069,0.20323641398407752,0.14175041931142035,0.8030806507442021,0.03702733538462821,0.875588438906196,0.004514419938604009,0.875588438906196,0.004514419938604009
1443,PizzaCutter1_1443.csv,0.9228855721393033,0.017865378388003283,0.7965174129353234,0.18501282109640924,0.9168475802804161,0.031908568283931085,0.8895522388059701,0.05536526422718635,0.8593622795115332,0.03541182294373881,0.9213478064224331,0.006110764789080901,0.9213478064224331,0.006110764789080901
1444,PizzaCutter3_1444.csv,0.8782417582417583,0.004428802190780024,0.7709340659340659,0.06470356381980367,0.8782417582417581,0.016897924634949373,0.20955128205128207,0.1822581249183354,0.8072802197802199,0.03084850734823198,0.8782417582417583,0.004428802190780024,0.8782417582417583,0.004428802190780024
1100,PopularKids_1100.csv,0.4850620567375887,0.06995531930532305,0.250886524822695,0.09226462105692369,0.43328900709219853,0.12448375931798063,0.35359042553191494,0.13308244739873848,0.41653368794326245,0.056103415198030165,0.5167109929078014,0.007241610993570731,0.5167109929078014,0.007241610993570731
45558,Pulsar-Dataset-HTRU2_45558.csv,0.9773159063301179,0.003717340886338405,0.9611134774584598,0.004994765726882337,0.9748017837123827,0.0035369739048022202,0.9442417192589099,0.022076759820570672,0.9608339917122327,0.005187766003726349,0.9084255428112831,0.00016316251510288838,0.9084255428112831,0.00016316251510288838
336,SPECT_336.csv,0.7941595441595442,0.01746265484181698,0.7497150997150996,0.10491366760247507,0.8123931623931625,0.08862503045483427,0.576068376068376,0.13904152293539182,0.7636752136752136,0.07552231345718712,0.7941595441595442,0.01746265484181698,0.7941595441595442,0.01746265484181698
40900,Satellite_40900.csv,0.9943137254901961,0.002522909681780224,0.7694117647058822,0.0844741848517096,0.9927450980392157,0.0027806597890434733,0.919607843137255,0.05010987969171962,0.9919607843137255,0.0036331874796567964,0.9868627450980393,0.00453295186520257,0.987843137254902,0.004215559606953503
41946,Sick_numeric_41946.csv,0.9655361879499811,0.008658889010193013,0.954663663284353,0.013671820323862563,0.9541324575807334,0.00812407212481798,0.4003234951510814,0.03810883274734353,0.9366440711268297,0.008271859466986962,0.9387597715183922,0.0007928383168911197,0.9387597715183922,0.0007928383168911197
4153,Smartphone-Based_Recognition_of_Human_Activities_4153.csv,0.33333333333333337,5.851389114294502e-17,0.47777777777777775,0.13405156348780634,0.961111111111111,0.02683588286331379,0.8722222222222221,0.08302411767207366,0.9277777777777778,0.05885277252618777,0.33333333333333337,5.851389114294502e-17,0.3222222222222222,0.0234242789642102
183,abalone_183.csv,error,,,,,,,,,,,,,
1455,acute-inflammations_1455.csv,0.8833333333333332,0.20487876571761973,0.6666666666666667,0.19641855032959654,1.0,0.0,0.85,0.16573815433529218,1.0,0.0,0.6666666666666666,0.11111111111111112,0.8250,0.15932922666333318
46279,algerian_forest_fires_46279.csv,0.9716666666666667,0.033073057924749356,0.9756666666666668,0.028188080836313908,0.9218333333333334,0.06618553234172878,0.9339999999999999,0.05277602336265312,0.8644999999999999,0.10063701427395046,0.53,0.1698910326149175,0.5175,0.15959874454161366
