id_dataset;total time
45557;0.04439854621887207
986;0.052582502365112305
1008;0.02836441993713379
844;0.026991844177246094
327;0.024532556533813477
798;0.030673980712890625
786;0.030892372131347656
27;0.06394290924072266
944;0.022097110748291016
49;0.04262280464172363
51;0.04070615768432617
55;0.03395247459411621
1073;0.022951126098632812
1066;0.07967615127563477
1045;0.0799858570098877
1065;0.06314539909362793
807;0.265545129776001
1481;0.8395435810089111
184;0.8591217994689941
1003;0.04050469398498535
470;0.04290461540222168
42172;0.05317234992980957
934;0.04234814643859863
42;0.11812448501586914
56;0.08261942863464355
940;0.08960366249084473
