id_dataset;total time
40981;0.04337882995605469
1447;0.026010751724243164
1446;0.022507905960083008
41430;0.08522486686706543
4340;0.02268195152282715
1448;0.04868125915527344
1441;0.03681588172912598
40496;0.023608922958374023
1449;0.03352808952331543
1442;0.033331871032714844
1450;0.02190089225769043
43974;1.6299750804901123
45548;1.3886289596557617
4534;0.6330060958862305
1451;0.0329742431640625
1452;0.027304887771606445
1453;0.033354997634887695
1443;0.02873396873474121
1444;0.03264808654785156
1100;0.019778013229370117
45558;0.07898497581481934
40922;0.2375171184539795
336;0.030417919158935547
40900;0.07178092002868652
41946;0.04390406608581543
4153;0.039977073669433594
1455;0.014284133911132812
46279;0.013904094696044922
458;0.05530691146850586
452;0.0815889835357666
461;0.04309487342834473
1014;0.025430917739868164
984;0.028940916061401367
1025;0.026656627655029297
852;0.02988576889038086
966;0.045067787170410156
450;0.010370969772338867
728;0.01725316047668457
748;0.010635852813720703
1059;0.020125150680541992
1061;0.018374204635620117
1064;0.019596099853515625
949;0.026734113693237305
950;0.026174068450927734
947;0.029173851013183594
951;0.04807686805725098
756;0.013036966323852539
1547;0.020040035247802734
1555;0.05106091499328613
1551;0.03809309005737305
1549;0.04722094535827637
1552;0.027883052825927734
1554;0.021509170532226562
1553;0.022964954376220703
463;0.04090404510498047
1121;0.014594793319702148
11;0.009094953536987305
481;0.0364069938659668
1463;0.013649940490722656
1464;0.00994420051574707
778;0.014670133590698242
853;0.018719911575317383
825;0.12303805351257324
15;0.049134016036987305
45717;0.05643606185913086
40663;0.11820292472839355
820;0.0228271484375
909;0.021950244903564453
908;0.021179914474487305
907;0.016673803329467773
906;0.016680240631103516
900;0.022454023361206055
939;0.03692293167114258
1467;0.02165079116821289
890;0.01144862174987793
897;0.05938005447387695
987;0.03469204902648926
41538;0.025463104248046875
40669;0.016540050506591797
796;0.0253448486328125
31;0.09288311004638672
1075;0.013035058975219727
35;0.09347987174987793
37;0.03126096725463867
818;0.030000925064086914
45712;0.05523514747619629
45604;0.04352307319641113
1011;0.013412952423095703
1472;0.031086206436157227
188;0.06955814361572266
1473;0.02189183235168457
285;0.08590388298034668
904;0.07291889190673828
888;0.05070304870605469
837;0.06729912757873535
766;0.040142059326171875
866;0.0490880012512207
920;0.03856015205383301
806;0.04938387870788574
937;0.03928494453430176
797;0.05116391181945801
805;0.03879499435424805
714;0.012504100799560547
1005;0.03490281105041504
1026;0.02713489532470703
329;0.010184288024902344
1512;0.015526294708251953
53;0.01439976692199707
1513;0.01357579231262207
41945;0.015275955200195312
59;0.0261991024017334
61;0.027591943740844727
1056;0.1166691780090332
1054;0.028268814086914062
1488;0.019546985626220703
750;0.012794017791748047
722;0.20284700393676758
871;0.02194976806640625
446;0.014519691467285156
952;0.013556957244873047
752;0.13435697555541992
816;0.04381299018859863
721;0.013403177261352539
1495;0.018035173416137695
717;0.022476911544799805
1519;0.0723869800567627
1520;0.07417011260986328
1498;0.03338122367858887
182;0.1580049991607666
466;0.026375770568847656
1499;0.018213272094726562
36;0.03991293907165527
1500;0.017986774444580078
826;0.0379788875579834
747;0.022665023803710938
902;0.02249884605407715
40;0.04250168800354004
737;0.028471946716308594
44;0.10127520561218262
46;0.6009888648986816
40982;0.0962212085723877
841;0.04221487045288086
770;0.02448105812072754
41146;0.06274676322937012
1004;0.054534912109375
48;0.043707847595214844
1115;0.03710222244262695
41526;0.2993929386138916
40499;0.11176085472106934
4329;0.05101299285888672
40690;0.029361963272094727
40474;0.13509202003479004
50;0.05044984817504883
40705;0.05787301063537598
788;0.04320812225341797
1507;0.08292293548583984
1508;0.02130413055419922
1047;0.28520989418029785
54;0.03977704048156738
44153;0.0465850830078125
719;0.04093790054321289
925;0.02178192138671875
923;0.05244183540344238
1016;0.040605783462524414
1497;0.06707882881164551
60;0.10906004905700684
1510;0.03516888618469238
1511;0.023273944854736328
40983;0.032209157943725586
847;0.05434608459472656
187;0.024665117263793945
753;0.030328035354614258
40693;0.036253929138183594
181;0.02658820152282715
62;0.03095722198486328
