id_dataset;total time
40981;0.030759096145629883
1447;0.016849994659423828
1446;0.015220880508422852
41430;0.018976926803588867
4340;0.0068280696868896484
1448;0.010170221328735352
1441;0.008805036544799805
40496;0.0049898624420166016
1449;0.010133981704711914
1442;0.009624242782592773
1450;0.008355855941772461
43974;7.789731025695801
45548;1.8851101398468018
4534;0.5469181537628174
1451;0.019966840744018555
1452;0.016171932220458984
1453;0.025066137313842773
1443;0.016633033752441406
1444;0.02439093589782715
1100;0.012174129486083984
45558;0.19372105598449707
40922;0.8154020309448242
336;0.022248029708862305
40900;0.09144806861877441
41946;0.02925419807434082
4153;0.01654505729675293
1455;0.007658958435058594
46279;0.00629115104675293
458;0.028223037719726562
452;0.012130975723266602
461;0.006891012191772461
1014;0.012932062149047852
984;0.009741067886352539
1025;0.010670900344848633
852;0.008608102798461914
966;0.04516100883483887
450;0.006669759750366211
728;0.012440681457519531
748;0.007091045379638672
1059;0.008661985397338867
1061;0.008650779724121094
1064;0.00832509994506836
949;0.00989985466003418
950;0.009449958801269531
947;0.009562015533447266
951;0.010033130645751953
756;0.00688624382019043
1547;0.012003898620605469
1555;0.044860124588012695
1551;0.04484200477600098
1549;0.036949872970581055
1552;0.024459123611450195
1554;0.015678882598876953
1553;0.018494129180908203
463;0.02243828773498535
1121;0.009634017944335938
11;0.006768226623535156
481;0.00897526741027832
1463;0.008215904235839844
1464;0.007634162902832031
778;0.007754087448120117
853;0.011394977569580078
825;0.019700050354003906
15;0.008708953857421875
45717;0.016378164291381836
40663;0.0313410758972168
820;0.007704973220825195
909;0.00934290885925293
908;0.026849031448364258
907;0.013181924819946289
906;0.009531974792480469
900;0.008784294128417969
939;0.007224082946777344
1467;0.0160980224609375
890;0.0078051090240478516
897;0.024916887283325195
987;0.013463020324707031
41538;0.011462926864624023
40669;0.009821176528930664
796;0.009200811386108398
31;0.04333090782165527
1075;0.007231235504150391
35;0.0374913215637207
37;0.011029958724975586
818;0.009440183639526367
45712;0.018399953842163086
45604;0.012735843658447266
1011;0.007400989532470703
1472;0.012410879135131836
188;0.0254061222076416
1473;0.023200035095214844
285;0.024247169494628906
904;0.050492048263549805
888;0.02877330780029297
837;0.051346778869628906
766;0.028700828552246094
866;0.05277729034423828
920;0.031414031982421875
806;0.053071022033691406
937;0.027006864547729492
797;0.056257009506225586
805;0.026935100555419922
714;0.008133888244628906
1005;0.0071620941162109375
1026;0.010523796081542969
329;0.0065495967864990234
1512;0.008208990097045898
53;0.008704900741577148
1513;0.007386207580566406
41945;0.011355161666870117
59;0.031581878662109375
61;0.0069599151611328125
1056;0.09982585906982422
1054;0.025494098663330078
1488;0.014606237411499023
750;0.010298013687133789
722;0.16037774085998535
871;0.04041910171508789
446;0.00945901870727539
952;0.009233236312866211
752;0.31048130989074707
816;0.09386706352233887
721;0.007979154586791992
1495;0.01143193244934082
717;0.010915756225585938
1519;0.016614913940429688
1520;0.018501758575439453
1498;0.010861873626708984
182;0.14579010009765625
466;0.013858795166015625
1499;0.00800013542175293
36;0.03378105163574219
1500;0.013287067413330078
826;0.021619081497192383
747;0.01046609878540039
902;0.009536981582641602
40;0.017435312271118164
737;0.027209997177124023
44;0.11199116706848145
46;0.3827369213104248
40982;0.04928183555603027
841;0.011986732482910156
770;0.01006174087524414
41146;0.0828559398651123
1004;0.0295407772064209
48;0.010359048843383789
1115;0.012497186660766602
41526;0.6403701305389404
40499;0.19144916534423828
4329;0.024808883666992188
40690;0.017191171646118164
40474;0.11291384696960449
50;0.02741718292236328
40705;0.040345191955566406
788;0.01411294937133789
1507;0.1768040657043457
1508;0.012483835220336914
1047;0.025271177291870117
54;0.01682305335998535
44153;0.016965150833129883
719;0.014949798583984375
925;0.009380102157592773
923;0.03587794303894043
1016;0.08261513710021973
1497;0.08214092254638672
60;0.20570802688598633
1510;0.021715879440307617
1511;0.012089967727661133
40983;0.029156923294067383
847;0.07541012763977051
187;0.014962911605834961
753;0.013720035552978516
40693;0.024817705154418945
181;0.015707969665527344
62;0.01621699333190918
