id_dataset;total time
45557;0.03121781349182129
986;0.03383588790893555
1008;0.0176541805267334
844;0.015404224395751953
327;0.012939453125
798;0.017601490020751953
786;0.024752378463745117
27;0.049184322357177734
944;0.010383844375610352
49;0.029333829879760742
51;0.029281139373779297
55;0.018521547317504883
1073;0.017349958419799805
1066;0.04979133605957031
1045;0.04814624786376953
1065;0.047936439514160156
807;0.32178616523742676
1481;0.7172400951385498
184;0.7194931507110596
1003;0.024503231048583984
470;0.03015875816345215
42172;0.03797769546508789
934;0.03778958320617676
42;0.0926210880279541
56;0.07198619842529297
940;0.06339430809020996
