Flow ID,Flow Name,Flow Parameters,Flow Associated Tasks
6952,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
6953,sklearn.svm.classes.SVC,No parameters available,No tasks available
6954,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
6957,sklearn.svm.classes.SVC,No parameters available,No tasks available
6994,sklearn.model_selection._search.GridSearchCV(estimator=sklearn.svm.classes.SVC),No parameters available,No tasks available
6995,sklearn.svm.classes.SVC,No parameters available,No tasks available
7010,optimus_ml.optimizer.model_optimizer.ModelOptimizer(estimator=sklearn.svm.classes.SVC),No parameters available,No tasks available
7091,optimus_ml.optimizer.model_optimizer.ModelOptimizer(estimator=sklearn.svm.classes.SVC),No parameters available,No tasks available
7103,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7107,sklearn.svm.classes.SVC,No parameters available,No tasks available
7120,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7121,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7194,sklearn.svm.classes.SVC,No parameters available,No tasks available
7199,sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.svm.classes.SVC),No parameters available,No tasks available
7202,"sklearn.pipeline.Pipeline(imputer=Preprocessing.preprocessingOpenML14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,standardization=sklearn.preprocessing.data.StandardScaler,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,estimator=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7207,sklearn.svm.classes.SVC,No parameters available,No tasks available
7208,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputer=Preprocessing.preprocessingOpenML14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,standardization=sklearn.preprocessing.data.StandardScaler,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,estimator=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7215,"sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,estimator=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7220,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputer=Preprocessing.preprocessingOpenML14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,standardization=sklearn.preprocessing.data.StandardScaler,variance-thresholding=Preprocessing.preprocessingOpenML14.MemoryEfficientVarianceThreshold,estimator=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7221,"sklearn.pipeline.Pipeline(imputer=Preprocessing.preprocessingOpenML14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,standardization=sklearn.preprocessing.data.StandardScaler,variance-thresholding=Preprocessing.preprocessingOpenML14.MemoryEfficientVarianceThreshold,estimator=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7362,TESTbd1cdc339dsklearn.svm.classes.SVC,No parameters available,No tasks available
7519,TEST1d4eae7525sklearn.svm.classes.SVC,No parameters available,No tasks available
7527,TEST83af9daba4sklearn.svm.classes.SVC,No parameters available,No tasks available
7557,TESTfb6541bc26sklearn.svm.classes.SVC,No parameters available,No tasks available
7566,TESTac56914152sklearn.svm.classes.SVC,No parameters available,No tasks available
7610,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=Preprocessing.preprocessingOpenML14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7611,"sklearn.pipeline.Pipeline(imputation=Preprocessing.preprocessingOpenML14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7628,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=Preprocessing.preprocessingOpenML14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7629,"sklearn.pipeline.Pipeline(imputation=Preprocessing.preprocessingOpenML14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7630,sklearn.svm.classes.SVC,No parameters available,No tasks available
7638,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7639,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7648,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7649,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7650,sklearn.svm.classes.SVC,No parameters available,No tasks available
7704,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7705,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7707,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,scaling=sklearn.preprocessing.data.StandardScaler,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7708,sklearn.svm.classes.SVC,No parameters available,No tasks available
7709,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,scaling=sklearn.preprocessing.data.StandardScaler,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7733,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MaxAbsScaler,classifier=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7734,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MaxAbsScaler,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7747,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7748,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7756,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.SVC))",No parameters available,No tasks available
