Flow ID,Flow Name,Number of Executions
3413,sklearn.svm.classes.SVC,3
3440,sklearn.svm.classes.SVC,3
3453,sklearn.svm.classes.SVC,1
4835,sklearn.svm.classes.SVC,531
5499,sklearn.svm.classes.SVC,54
5656,"sklearn.pipeline.Pipeline(feature_select=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.RandomForestClassifier),classifier=sklearn.svm.classes.SVC)",0
5659,"sklearn.pipeline.Pipeline(steps__scaling=sklearn.preprocessing.data.StandardScaler,steps__selector=sklearn.feature_selection.univariate_selection.GenericUnivariateSelect,steps__classifier=sklearn.svm.classes.SVC)",0
5662,"sklearn.pipeline.Pipeline(scaling=sklearn.preprocessing.data.StandardScaler,selector=sklearn.feature_selection.univariate_selection.GenericUnivariateSelect,classifier=sklearn.svm.classes.SVC)",1
5744,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,selectfrommodel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.ExtraTreesClassifier),svc=sklearn.svm.classes.SVC)",0
5745,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,selectfrommodel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.svm.classes.LinearSVC),svc=sklearn.svm.classes.SVC)",0
5746,"sklearn.pipeline.Pipeline(selectfrommodel=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.svm.classes.LinearSVC),svc=sklearn.svm.classes.SVC)",0
5780,"sklearn.model_selection._search.GridSearchCV(estimator=sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,select=sklearn.feature_selection.univariate_selection.SelectPercentile,scaler=sklearn.preprocessing.data.MinMaxScaler,Classifier=sklearn.svm.classes.SVC))",2
5781,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,select=sklearn.feature_selection.univariate_selection.SelectPercentile,scaler=sklearn.preprocessing.data.MinMaxScaler,Classifier=sklearn.svm.classes.SVC)",0
