,Flow Name
1099,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.neural_network.multilayer_perceptron.MLPClassifier)"
1100,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)"
1102,sklearn.feature_selection.variance_threshold.VarianceThreshold
1104,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,scaling=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)"
1106,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.tree.tree.DecisionTreeClassifier))"
1107,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1108,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.tree.tree.DecisionTreeClassifier))"
1109,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1112,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.tree.tree.DecisionTreeClassifier))"
1113,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1115,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1116,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,kernel_approx=sklearn.kernel_approximation.RBFSampler,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.linear_model.stochastic_gradient.SGDClassifier)"
1117,sklearn.kernel_approximation.RBFSampler
1118,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.linear_model.perceptron.Perceptron))"
1119,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.linear_model.perceptron.Perceptron)"
1120,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.neural_network.multilayer_perceptron.MLPClassifier))"
1121,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.neural_network.multilayer_perceptron.MLPClassifier)"
1122,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.svm.classes.LinearSVC))"
1123,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.svm.classes.LinearSVC)"
1124,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.svm.classes.SVC))"
1125,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MinMaxScaler,classifier=sklearn.svm.classes.SVC)"
1127,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,scaling=sklearn.preprocessing.data.StandardScaler,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC)"
1128,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,scaling=sklearn.preprocessing.data.StandardScaler,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC))"
1129,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,kernel_approx=sklearn.kernel_approximation.RBFSampler,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.linear_model.stochastic_gradient.SGDClassifier)"
1130,sklearn.kernel_approximation.RBFSampler
1132,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1133,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MaxAbsScaler,classifier=sklearn.tree.tree.DecisionTreeClassifier))"
1134,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MaxAbsScaler,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1136,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.linear_model.stochastic_gradient.SGDClassifier))"
1137,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.linear_model.stochastic_gradient.SGDClassifier)"
1138,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.tree.tree.DecisionTreeClassifier))"
1139,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1140,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.linear_model.perceptron.Perceptron))"
1141,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.linear_model.perceptron.Perceptron)"
1142,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.neural_network.multilayer_perceptron.MLPClassifier))"
1143,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.neural_network.multilayer_perceptron.MLPClassifier)"
1144,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MaxAbsScaler,classifier=sklearn.svm.classes.LinearSVC))"
1145,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MaxAbsScaler,classifier=sklearn.svm.classes.LinearSVC)"
1146,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MaxAbsScaler,classifier=sklearn.svm.classes.SVC))"
1147,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MaxAbsScaler,classifier=sklearn.svm.classes.SVC)"
1148,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MaxAbsScaler,classifier=sklearn.linear_model.perceptron.Perceptron))"
1149,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MaxAbsScaler,classifier=sklearn.linear_model.perceptron.Perceptron)"
1150,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MaxAbsScaler,classifier=sklearn.neural_network.multilayer_perceptron.MLPClassifier))"
1151,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,standardization=sklearn.preprocessing.data.MaxAbsScaler,classifier=sklearn.neural_network.multilayer_perceptron.MLPClassifier)"
1152,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.tree.tree.DecisionTreeClassifier))"
1153,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1154,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.linear_model.perceptron.Perceptron))"
1155,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.linear_model.perceptron.Perceptron)"
1156,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.neural_network.multilayer_perceptron.MLPClassifier))"
1157,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.neural_network.multilayer_perceptron.MLPClassifier)"
1158,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.LinearSVC))"
1159,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.LinearSVC)"
1160,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC))"
1161,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one_hot_encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC)"
1162,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.LinearSVC))"
1163,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.LinearSVC)"
1164,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.SVC))"
1165,"sklearn.pipeline.Pipeline(imputation=mylib.preprocessing_openml14.ConditionalImputer,one-hot-encoder=sklearn.preprocessing.data.OneHotEncoder,variance-thresholding=sklearn.feature_selection.variance_threshold.VarianceThreshold,feature-scaling=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.SVC)"
1173,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1174,"sklearn.pipeline.Pipeline(imputation=openmlstudy14.preprocessing.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.linear_model.logistic.LogisticRegression)"
1175,"sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,clf=sklearn.ensemble.forest.RandomForestClassifier))"
1176,"sklearn.pipeline.Pipeline(imputation=sklearn.preprocessing.imputation.Imputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,clf=sklearn.ensemble.forest.RandomForestClassifier)"
1177,"sklearn.pipeline.Pipeline(PCA=sklearn.decomposition.pca.PCA,polynom=sklearn.preprocessing.data.PolynomialFeatures,model=sklearn.ensemble.forest.RandomForestClassifier)"
1178,sklearn.decomposition.pca.PCA
1179,sklearn.preprocessing.data.PolynomialFeatures
1180,"sklearn.pipeline.Pipeline(PCA=sklearn.decomposition.pca.PCA,polynom=sklearn.preprocessing.data.PolynomialFeatures,model=xgboost.sklearn.XGBClassifier)"
1187,"sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.StandardScaler,pca=sklearn.decomposition.pca.PCA,reg=sklearn.linear_model.logistic.LogisticRegression)"
1188,"sklearn.pipeline.Pipeline(imputation=openmlcontrib.preprocessing.imputation.ConditionalImputer,hotencoding=sklearn.preprocessing.data.OneHotEncoder,scaling=sklearn.preprocessing.data.StandardScaler,variencethreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,classifier=sklearn.svm.classes.SVC)"
1195,"sklearn.ensemble.voting_classifier.VotingClassifier(lr=sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.StandardScaler,pca=sklearn.decomposition.pca.PCA,reg=sklearn.linear_model.logistic.LogisticRegression),knn=sklearn.neighbors.classification.KNeighborsClassifier)"
1196,"sklearn.pipeline.Pipeline(Scaler=sklearn.preprocessing.data.StandardScaler,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.ensemble.voting_classifier.VotingClassifier(lr=sklearn.linear_model.logistic.LogisticRegression,knn=sklearn.neighbors.classification.KNeighborsClassifier,rf=sklearn.ensemble.forest.RandomForestClassifier,GB=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier))"
1197,"sklearn.pipeline.Pipeline(Scaler=sklearn.preprocessing.data.StandardScaler,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)"
1198,"sklearn.pipeline.Pipeline(Scaler=sklearn.preprocessing.data.StandardScaler,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.linear_model.logistic.LogisticRegression)"
1199,"sklearn.pipeline.Pipeline(Scaler=sklearn.preprocessing.data.StandardScaler,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.neighbors.classification.KNeighborsClassifier)"
1200,"sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,Classifier=sklearn.neighbors.classification.KNeighborsClassifier)"
1201,"sklearn.pipeline.Pipeline(Scaler=sklearn.preprocessing.data.StandardScaler,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.ensemble.voting_classifier.VotingClassifier(lr=sklearn.linear_model.logistic.LogisticRegression,knn=sklearn.neighbors.classification.KNeighborsClassifier,svc=sklearn.svm.classes.SVC))"
1202,"sklearn.pipeline.Pipeline(Scaler=sklearn.preprocessing.data.MinMaxScaler,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.linear_model.logistic.LogisticRegression)"
1203,"sklearn.pipeline.Pipeline(dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.neighbors.classification.KNeighborsClassifier)"
1204,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.RobustScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.neighbors.classification.KNeighborsClassifier)"
1206,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.StandardScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.neighbors.classification.KNeighborsClassifier)"
1207,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.PolynomialFeatures,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.neighbors.classification.KNeighborsClassifier)"
1208,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.MinMaxScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.neighbors.classification.KNeighborsClassifier)"
1209,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.RobustScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.svm.classes.NuSVC)"
1210,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.MinMaxScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.svm.classes.NuSVC)"
1211,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.StandardScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.svm.classes.NuSVC)"
1215,"sklearn.model_selection._search.GridSearchCV(estimator=sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.RobustScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.neighbors.classification.KNeighborsClassifier))"
1216,"sklearn.model_selection._search.GridSearchCV(estimator=sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.StandardScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.svm.classes.SVC))"
1217,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.StandardScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.svm.classes.SVC)"
1218,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.Normalizer,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.svm.classes.SVC)"
1220,"sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,clf=sklearn.svm.classes.SVC)"
1221,"sklearn.ensemble.voting_classifier.VotingClassifier(lr=sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.StandardScaler,pca=sklearn.decomposition.pca.PCA,reg=sklearn.linear_model.logistic.LogisticRegression),knn=sklearn.neighbors.classification.KNeighborsClassifier,gb=sklearn.pipeline.Pipeline(clf=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier))"
1222,"sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,Classifier=sklearn.tree.tree.DecisionTreeClassifier)"
1223,"sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,Classifier=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)"
1224,"sklearn.pipeline.Pipeline(pca=sklearn.decomposition.pca.PCA,Classifier=sklearn.naive_bayes.GaussianNB)"
1225,"sklearn.pipeline.Pipeline(Scaler=sklearn.preprocessing.data.RobustScaler,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.ensemble.gradient_boosting.GradientBoostingClassifier)"
1229,"sklearn.ensemble.voting_classifier.VotingClassifier(knn=sklearn.neighbors.classification.KNeighborsClassifier,svc=sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.StandardScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.svm.classes.SVC))"
1230,"sklearn.ensemble.voting_classifier.VotingClassifier(knn=sklearn.neighbors.classification.KNeighborsClassifier,svc=sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.StandardScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.svm.classes.SVC),rf=sklearn.ensemble.forest.RandomForestClassifier)"
1231,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.StandardScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.ensemble.forest.RandomForestClassifier)"
1232,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.StandardScaler,dimension_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.linear_model.logistic.LogisticRegression)"
