id_dataset;total time
40981;0.03205680847167969
1447;0.012296915054321289
1446;0.008630037307739258
41430;0.014375925064086914
4340;0.00458979606628418
1448;0.00806879997253418
1441;0.006622791290283203
40496;0.004759073257446289
1449;0.0076596736907958984
1442;0.0076978206634521484
1450;0.006539106369018555
43974;1.269038200378418
45548;0.9231188297271729
4534;0.5838148593902588
1451;0.015342950820922852
1452;0.010965108871459961
1453;0.014101028442382812
1443;0.01116490364074707
1444;0.014991044998168945
1100;0.0100860595703125
45558;0.05882716178894043
40922;0.18301916122436523
336;0.04182004928588867
40900;0.04040813446044922
41946;0.023671627044677734
4153;0.013172149658203125
1455;0.006677150726318359
46279;0.004955768585205078
458;0.018485069274902344
452;0.010635852813720703
461;0.005418062210083008
1014;0.011355876922607422
984;0.006529092788696289
1025;0.00875711441040039
852;0.006697177886962891
966;0.018121957778930664
450;0.005597114562988281
728;0.009345054626464844
748;0.005504131317138672
1059;0.006292819976806641
1061;0.0054891109466552734
1064;0.0059909820556640625
949;0.0072498321533203125
950;0.006514787673950195
947;0.006961822509765625
951;0.007187843322753906
756;0.005145072937011719
1547;0.008275032043457031
1555;0.028699159622192383
1551;0.018100976943969727
1549;0.023047924041748047
1552;0.020605802536010742
1554;0.011489152908325195
1553;0.01517796516418457
463;0.021031856536865234
1121;0.008682966232299805
11;0.004312992095947266
481;0.006167888641357422
1463;0.006062746047973633
1464;0.003802776336669922
778;0.005986928939819336
853;0.007878780364990234
825;0.036756038665771484
15;0.0051000118255615234
45717;0.010184764862060547
40663;0.026803016662597656
820;0.006062984466552734
909;0.005399942398071289
908;0.004343986511230469
907;0.004805088043212891
906;0.005521059036254883
900;0.00430607795715332
939;0.00406193733215332
1467;0.008534908294677734
890;0.0048809051513671875
897;0.021790266036987305
987;0.012256860733032227
41538;0.010201215744018555
40669;0.006308078765869141
796;0.005760908126831055
31;0.03921198844909668
1075;0.0058917999267578125
35;0.03489208221435547
37;0.0063629150390625
818;0.006286144256591797
45712;0.011855125427246094
45604;0.008057117462158203
1011;0.004560232162475586
1472;0.009126901626586914
188;0.019356966018676758
1473;0.004585981369018555
285;0.022799015045166016
904;0.022337913513183594
888;0.014694929122924805
837;0.023529052734375
766;0.015552997589111328
866;0.02289104461669922
920;0.014950037002563477
806;0.02246403694152832
937;0.037641048431396484
797;0.022840261459350586
805;0.01571369171142578
714;0.0056111812591552734
1005;0.004405975341796875
1026;0.008359193801879883
329;0.0038878917694091797
1512;0.0056378841400146484
53;0.0052509307861328125
1513;0.004216909408569336
41945;0.0070438385009765625
59;0.009155750274658203
61;0.004434823989868164
1056;0.06636404991149902
1054;0.009328126907348633
1488;0.006820201873779297
750;0.004847049713134766
722;0.11480903625488281
871;0.03438711166381836
446;0.006633281707763672
952;0.004755973815917969
752;0.08830618858337402
816;0.027591943740844727
721;0.0053060054779052734
1495;0.008124113082885742
717;0.005825996398925781
1519;0.012115955352783203
1520;0.013580083847045898
1498;0.007853984832763672
182;0.07119488716125488
466;0.009801149368286133
1499;0.00569605827331543
36;0.016870737075805664
1500;0.0048329830169677734
826;0.018443822860717773
747;0.007857799530029297
902;0.006214141845703125
40;0.012999773025512695
737;0.01178598403930664
44;0.051486968994140625
46;0.42703890800476074
40982;0.01971888542175293
841;0.0074920654296875
770;0.006403923034667969
41146;0.03097820281982422
1004;0.019392967224121094
48;0.0064928531646728516
1115;0.0076329708099365234
41526;0.20551300048828125
40499;0.06285738945007324
4329;0.021083354949951172
40690;0.015268087387084961
40474;0.10676097869873047
50;0.02380204200744629
40705;0.028100967407226562
788;0.011111259460449219
1507;0.0689840316772461
1508;0.005979061126708984
1047;0.020283937454223633
54;0.009531974792480469
44153;0.010213136672973633
719;0.006595134735107422
925;0.005181074142456055
923;0.03231692314147949
1016;0.016424894332885742
1497;0.035861968994140625
60;0.05914807319641113
1510;0.012148857116699219
1511;0.0075418949127197266
40983;0.013110160827636719
847;0.026753902435302734
187;0.006320953369140625
753;0.007297039031982422
40693;0.024637937545776367
181;0.008289098739624023
62;0.034240007400512695
