id_dataset;total time
986;0.035891056060791016
1008;0.01787090301513672
844;0.015690088272094727
327;0.013046979904174805
798;0.017807960510253906
786;0.017918109893798828
27;0.048898935317993164
944;0.010751962661743164
49;0.029780864715576172
51;0.028606414794921875
55;0.018563270568847656
1073;0.015016794204711914
1066;0.047188758850097656
1045;0.0468287467956543
1065;0.0440831184387207
807;0.24463772773742676
1481;0.6238949298858643
184;0.6286466121673584
1003;0.02408576011657715
470;0.029905319213867188
42172;0.03832721710205078
934;0.03417253494262695
42;0.09340453147888184
56;0.06705188751220703
940;0.07104277610778809
